Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Brand New Bag","Upper Tier > James Brown Area > Calico Tanks Area > (05) Sandstone Quarry > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/120094227/brand-new-bag,2.8,-1,Sport,5.11c,1,,36.16299,-115.43987
"James Brown","Upper Tier > James Brown Area > Calico Tanks Area > (05) Sandstone Quarry > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105913902/james-brown,3.3,-1,Sport,5.11d,1,60,36.16299,-115.43987
"Soul Power","Upper Tier > James Brown Area > Calico Tanks Area > (05) Sandstone Quarry > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105913906/soul-power,3.8,-1,Sport,5.11d,1,60,36.16299,-115.43987
Mirage,"Lower Tier > James Brown Area > Calico Tanks Area > (05) Sandstone Quarry > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/106700353/mirage,2.7,-1,Sport,5.10d,1,80,36.16281,-115.43976
"Ms. Adventure","Hall of Fame > Calico Tanks Area > (05) Sandstone Quarry > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/115356901/ms-adventure,1.9,-1,Sport,5.8-,1,25,36.16528,-115.44285
"Innocent Bystander","Hall of Fame > Calico Tanks Area > (05) Sandstone Quarry > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/106063906/innocent-bystander,2.4,-1,Sport,5.10a,1,40,36.16528,-115.44285
"Resisting a Rest","Hall of Fame > Calico Tanks Area > (05) Sandstone Quarry > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/120455385/resisting-a-rest,2.7,-1,Sport,5.10b,1,35,36.16528,-115.44285
"Bull Rider","Hall of Fame > Calico Tanks Area > (05) Sandstone Quarry > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/106063901/bull-rider,2.1,-1,Sport,5.10+,1,35,36.16528,-115.44285
"Rest Training Order","Hall of Fame > Calico Tanks Area > (05) Sandstone Quarry > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/120454968/rest-training-order,2.8,-1,Sport,5.10d,1,50,36.16528,-115.44285
"Armed and Dangerous","Hall of Fame > Calico Tanks Area > (05) Sandstone Quarry > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/106973210/armed-and-dangerous,2.6,-1,Sport,5.11a,1,45,36.16528,-115.44285
